Scale,Method,STOI,ESTOI,SI-SDR,LSD,HF-LSD
0 (Base),Base,0.7332386193001507,0.6481203230086656,17.070822434206406,13.322334894144973,14.070128441586125
0.75,Predicted-0.75,0.7321684107235613,0.6438100403357075,17.186814548715674,11.417607516712012,11.511072876324306
0.90,Predicted-0.90,0.7314759050934981,0.641489402116234,17.137178952299823,11.374806360119223,11.533993415409588
