sample_id,severity,method,base_si_sdr,base_lsd,base_hf_lsd,stoi,estoi,si_sdr,lsd,hf_lsd,delta_si_sdr_vs_base,delta_lsd_vs_base,delta_hf_lsd_vs_base
adaptive_shard_00000.pt:36,clean,zero,27.602043006025628,9.25740909576416,9.6227445602417,nan,nan,26.338920891451846,17.445039749145508,17.59372329711914,-1.2631221145737825,8.187630653381348,7.970978736877441
adaptive_shard_00000.pt:36,clean,shuffled,27.602043006025628,9.25740909576416,9.6227445602417,nan,nan,26.306009791306366,17.396568298339844,17.498544692993164,-1.2960332147192624,8.139159202575684,7.875800132751465
adaptive_shard_00000.pt:36,clean,predicted,27.602043006025628,9.25740909576416,9.6227445602417,nan,nan,26.165741892000376,17.465579986572266,17.485136032104492,-1.4363011140252517,8.208170890808105,7.862391471862793
adaptive_shard_00000.pt:36,clean,oracle,27.602043006025628,9.25740909576416,9.6227445602417,nan,nan,26.19130552560697,17.4882869720459,17.554811477661133,-1.410737480418657,8.230877876281738,7.932066917419434
adaptive_shard_00000.pt:37,light,zero,21.10331335757964,13.981661796569824,16.92120933532715,nan,nan,20.8062152448519,19.072227478027344,20.23729133605957,-0.2970981127277419,5.0905656814575195,3.316082000732422
adaptive_shard_00000.pt:37,light,shuffled,21.10331335757964,13.981661796569824,16.92120933532715,nan,nan,20.80242503925293,19.151826858520508,20.300992965698242,-0.3008883183267095,5.170165061950684,3.3797836303710938
adaptive_shard_00000.pt:37,light,predicted,21.10331335757964,13.981661796569824,16.92120933532715,nan,nan,20.756220304326188,19.129430770874023,20.17995262145996,-0.3470930532534524,5.147768974304199,3.2587432861328125
adaptive_shard_00000.pt:37,light,oracle,21.10331335757964,13.981661796569824,16.92120933532715,nan,nan,20.83304794516313,18.92097282409668,20.133752822875977,-0.27026541241651003,4.9393110275268555,3.212543487548828
adaptive_shard_00000.pt:38,medium,zero,17.322489169842513,14.166529655456543,15.905009269714355,nan,nan,17.21993640463782,20.26655387878418,21.761444091796875,-0.10255276520469181,6.100024223327637,5.8564348220825195
adaptive_shard_00000.pt:38,medium,shuffled,17.322489169842513,14.166529655456543,15.905009269714355,nan,nan,17.23062701203964,20.14655876159668,21.688644409179688,-0.09186215780287199,5.980029106140137,5.783635139465332
adaptive_shard_00000.pt:38,medium,predicted,17.322489169842513,14.166529655456543,15.905009269714355,nan,nan,17.205874205921635,20.29662322998047,21.693204879760742,-0.11661496392087756,6.130093574523926,5.788195610046387
adaptive_shard_00000.pt:38,medium,oracle,17.322489169842513,14.166529655456543,15.905009269714355,nan,nan,17.21640014672818,20.2465763092041,21.709829330444336,-0.10608902311433255,6.080046653747559,5.8048200607299805
adaptive_shard_00000.pt:39,heavy,zero,14.987506080591599,15.342086791992188,16.65317726135254,nan,nan,14.946575076259334,20.468975067138672,21.47024154663086,-0.04093100433226482,5.126888275146484,4.81706428527832
adaptive_shard_00000.pt:39,heavy,shuffled,14.987506080591599,15.342086791992188,16.65317726135254,nan,nan,14.946599453893485,20.35512924194336,21.32018280029297,-0.04090662669811351,5.013042449951172,4.66700553894043
adaptive_shard_00000.pt:39,heavy,predicted,14.987506080591599,15.342086791992188,16.65317726135254,nan,nan,14.946649985774112,20.354820251464844,21.32080841064453,-0.040856094817486976,5.012733459472656,4.667631149291992
adaptive_shard_00000.pt:39,heavy,oracle,14.987506080591599,15.342086791992188,16.65317726135254,nan,nan,14.946599453893485,20.35512924194336,21.32018280029297,-0.04090662669811351,5.013042449951172,4.66700553894043
adaptive_shard_00000.pt:44,clean,zero,27.757568308365403,10.225346565246582,10.672922134399414,nan,nan,26.51819613381301,14.633543014526367,15.657902717590332,-1.2393721745523933,4.408196449279785,4.984980583190918
adaptive_shard_00000.pt:44,clean,shuffled,27.757568308365403,10.225346565246582,10.672922134399414,nan,nan,26.375641573739085,14.678838729858398,15.626845359802246,-1.3819267346263189,4.453492164611816,4.953923225402832
adaptive_shard_00000.pt:44,clean,predicted,27.757568308365403,10.225346565246582,10.672922134399414,nan,nan,26.35019803388368,14.645875930786133,15.543754577636719,-1.4073702744817247,4.420529365539551,4.870832443237305
adaptive_shard_00000.pt:44,clean,oracle,27.757568308365403,10.225346565246582,10.672922134399414,nan,nan,26.375641573739085,14.678838729858398,15.626845359802246,-1.3819267346263189,4.453492164611816,4.953923225402832
adaptive_shard_00000.pt:45,light,zero,24.89023039259019,13.909435272216797,15.211015701293945,nan,nan,24.23080040148839,15.976031303405762,17.891321182250977,-0.6594299911017991,2.066596031188965,2.6803054809570312
adaptive_shard_00000.pt:45,light,shuffled,24.89023039259019,13.909435272216797,15.211015701293945,nan,nan,24.152043958227992,16.0209903717041,17.808338165283203,-0.7381864343621984,2.1115550994873047,2.597322463989258
adaptive_shard_00000.pt:45,light,predicted,24.89023039259019,13.909435272216797,15.211015701293945,nan,nan,24.211276364221256,16.02104949951172,17.886518478393555,-0.6789540283689348,2.111614227294922,2.6755027770996094
adaptive_shard_00000.pt:45,light,oracle,24.89023039259019,13.909435272216797,15.211015701293945,nan,nan,24.222819414662318,16.027280807495117,17.917264938354492,-0.6674109779278723,2.1178455352783203,2.706249237060547
adaptive_shard_00000.pt:46,medium,zero,19.801166194876924,13.736441612243652,15.817634582519531,nan,nan,19.60267762662456,17.532428741455078,20.030517578125,-0.19848856825236538,3.795987129211426,4.212882995605469
adaptive_shard_00000.pt:46,medium,shuffled,19.801166194876924,13.736441612243652,15.817634582519531,nan,nan,19.574911250958504,17.580516815185547,20.021591186523438,-0.22625494391841983,3.8440752029418945,4.203956604003906
adaptive_shard_00000.pt:46,medium,predicted,19.801166194876924,13.736441612243652,15.817634582519531,nan,nan,19.57763877608812,17.542259216308594,19.93794059753418,-0.22352741878880522,3.8058176040649414,4.120306015014648
adaptive_shard_00000.pt:46,medium,oracle,19.801166194876924,13.736441612243652,15.817634582519531,nan,nan,19.576330256607996,17.560028076171875,19.929834365844727,-0.224835938268928,3.8235864639282227,4.112199783325195
adaptive_shard_00000.pt:47,heavy,zero,15.121345352608193,13.426857948303223,14.577459335327148,nan,nan,15.068631697024044,17.90436553955078,19.657470703125,-0.05271365558414942,4.477507591247559,5.080011367797852
adaptive_shard_00000.pt:47,heavy,shuffled,15.121345352608193,13.426857948303223,14.577459335327148,nan,nan,15.06867450636464,17.775569915771484,19.497058868408203,-0.05267084624355256,4.348711967468262,4.919599533081055
adaptive_shard_00000.pt:47,heavy,predicted,15.121345352608193,13.426857948303223,14.577459335327148,nan,nan,15.06853722826184,17.77538299560547,19.494604110717773,-0.052808124346352514,4.348525047302246,4.917144775390625
adaptive_shard_00000.pt:47,heavy,oracle,15.121345352608193,13.426857948303223,14.577459335327148,nan,nan,15.06867450636464,17.775569915771484,19.497058868408203,-0.05267084624355256,4.348711967468262,4.919599533081055
adaptive_shard_00001.pt:40,clean,zero,17.08252374094135,12.059354782104492,12.742051124572754,nan,nan,16.990330459178125,15.061424255371094,15.148930549621582,-0.09219328176322605,3.0020694732666016,2.406879425048828
adaptive_shard_00001.pt:40,clean,shuffled,17.08252374094135,12.059354782104492,12.742051124572754,nan,nan,16.99031231239681,14.859624862670898,14.865616798400879,-0.09221142854454101,2.8002700805664062,2.123565673828125
adaptive_shard_00001.pt:40,clean,predicted,17.08252374094135,12.059354782104492,12.742051124572754,nan,nan,16.973329190657974,15.079545021057129,15.032394409179688,-0.10919455028337666,3.0201902389526367,2.2903432846069336
adaptive_shard_00001.pt:40,clean,oracle,17.08252374094135,12.059354782104492,12.742051124572754,nan,nan,16.97590914318053,15.1053466796875,15.108477592468262,-0.10661459776082083,3.045991897583008,2.366426467895508
adaptive_shard_00001.pt:41,light,zero,17.79030621006661,16.004426956176758,19.343908309936523,nan,nan,17.664693104338685,15.99969482421875,16.76200294494629,-0.1256131057279255,-0.0047321319580078125,-2.5819053649902344
adaptive_shard_00001.pt:41,light,shuffled,17.79030621006661,16.004426956176758,19.343908309936523,nan,nan,17.664968990807534,15.830084800720215,16.535823822021484,-0.1253372192590767,-0.17434215545654297,-2.808084487915039
adaptive_shard_00001.pt:41,light,predicted,17.79030621006661,16.004426956176758,19.343908309936523,nan,nan,17.67517331228649,15.858800888061523,16.64883041381836,-0.11513289778012137,-0.14562606811523438,-2.695077896118164
adaptive_shard_00001.pt:41,light,oracle,17.79030621006661,16.004426956176758,19.343908309936523,nan,nan,17.676410872541126,15.840387344360352,16.64170265197754,-0.11389533752548431,-0.16403961181640625,-2.7022056579589844
adaptive_shard_00001.pt:42,medium,zero,18.85289667003542,12.885488510131836,13.519089698791504,nan,nan,18.69217712152796,16.652936935424805,17.593294143676758,-0.16071954850746195,3.7674484252929688,4.074204444885254
adaptive_shard_00001.pt:42,medium,shuffled,18.85289667003542,12.885488510131836,13.519089698791504,nan,nan,18.687184289095875,16.62123680114746,17.51797103881836,-0.16571238093954577,3.735748291015625,3.9988813400268555
adaptive_shard_00001.pt:42,medium,predicted,18.85289667003542,12.885488510131836,13.519089698791504,nan,nan,18.672458000171574,16.669538497924805,17.487886428833008,-0.1804386698638467,3.7840499877929688,3.968796730041504
adaptive_shard_00001.pt:42,medium,oracle,18.85289667003542,12.885488510131836,13.519089698791504,nan,nan,18.67137200706821,16.7060489654541,17.504911422729492,-0.1815246629672096,3.8205604553222656,3.9858217239379883
