epoch,train_loss,valid_loss,train_noise_acc,valid_noise_acc,train_bw_acc,valid_bw_acc,train_bit_acc,valid_bit_acc,train_snr_mae_db,valid_snr_mae_db
1,3.3309831619262695,3.186828136444092,0.4017857164144516,0.6666666865348816,0.1964285746216774,0.3333333432674408,0.125,0.0,8.394965410232544,14.587196350097656
2,3.196790933609009,3.1919236183166504,0.5357142984867096,0.6666666865348816,0.4642857164144516,0.3333333432674408,0.1339285746216774,0.3333333432674408,7.592317819595337,12.838214874267578
3,3.1517763137817383,3.253054618835449,0.5357142984867096,0.6666666865348816,0.4642857164144516,0.3333333432674408,0.3303571492433548,0.3333333432674408,5.884193658828735,10.567319869995117
4,3.1380354166030884,3.2056984901428223,0.6875,1.0,0.4553571492433548,0.3333333432674408,0.3392857164144516,0.3333333432674408,3.559267282485962,9.30016040802002
5,3.1266638040542603,3.163149356842041,0.8571428656578064,1.0,0.4553571492433548,0.3333333432674408,0.3214285746216774,0.3333333432674408,3.6518406867980957,8.383487701416016
6,3.0910146236419678,3.1258840560913086,0.8571428656578064,0.6666666865348816,0.4642857164144516,0.3333333432674408,0.3482142984867096,0.3333333432674408,3.9790979623794556,8.400956153869629
7,3.093278408050537,3.055952548980713,0.5267857164144516,0.6666666865348816,0.4732142984867096,0.3333333432674408,0.4017857164144516,0.3333333432674408,4.145322561264038,8.30660629272461
8,3.057706832885742,3.011343002319336,0.5267857164144516,0.6666666865348816,0.4732142984867096,0.3333333432674408,0.4017857164144516,0.3333333432674408,4.151848912239075,7.743096351623535
9,3.0403966903686523,2.980074405670166,0.5446428656578064,0.6666666865348816,0.4553571492433548,0.3333333432674408,0.5982142984867096,0.3333333432674408,4.270798921585083,5.5424604415893555
10,2.97716748714447,2.9173026084899902,0.5357142984867096,0.6666666865348816,0.4642857164144516,0.3333333432674408,0.3928571492433548,0.3333333432674408,4.8301098346710205,4.422285079956055
11,2.908560633659363,2.788855791091919,0.5892857164144516,1.0,0.4732142984867096,0.6666666865348816,0.4732142984867096,0.3333333432674408,4.097782135009766,4.544417381286621
12,2.7701776027679443,2.6147994995117188,0.8035714328289032,1.0,0.5357142984867096,0.6666666865348816,0.4642857164144516,0.3333333432674408,4.223135471343994,3.434743881225586
13,2.5626864433288574,2.313615322113037,0.9285714328289032,1.0,0.75,0.6666666865348816,0.4821428656578064,0.3333333432674408,4.032962799072266,3.756664276123047
14,2.1599069237709045,1.9663922786712646,1.0,1.0,0.7410714328289032,0.6666666865348816,0.4642857164144516,0.6666666865348816,4.17772102355957,4.906340599060059
15,1.9507994055747986,1.956016182899475,1.0,1.0,0.7321428656578064,0.6666666865348816,0.4642857164144516,0.6666666865348816,4.179500102996826,5.023370742797852
16,1.6930028200149536,1.773157000541687,1.0,1.0,0.7321428656578064,0.6666666865348816,0.4732142984867096,0.6666666865348816,4.0264445543289185,2.999906539916992
17,1.6053977608680725,1.6135399341583252,1.0,1.0,0.8660714328289032,0.6666666865348816,0.4642857164144516,0.6666666865348816,4.730620861053467,2.813457489013672
18,1.507584273815155,1.684954047203064,1.0,1.0,0.8660714328289032,0.6666666865348816,0.6785714328289032,0.6666666865348816,4.022319674491882,2.714980125427246
19,1.4291845560073853,1.6810383796691895,1.0,1.0,0.7857142984867096,0.6666666865348816,0.6607142984867096,0.6666666865348816,5.508604526519775,4.439211845397949
20,1.3222944736480713,1.3532702922821045,1.0,1.0,0.7946428656578064,0.6666666865348816,0.6517857164144516,0.6666666865348816,5.765915870666504,6.588298797607422
21,1.2753368616104126,1.4446368217468262,1.0,1.0,0.7946428656578064,0.6666666865348816,0.7946428656578064,0.6666666865348816,5.592156887054443,6.919319152832031
22,1.1735403835773468,1.5299245119094849,1.0,1.0,0.8660714328289032,0.6666666865348816,0.6696428656578064,0.3333333432674408,5.458920240402222,7.111146926879883
23,1.1864984631538391,1.2530566453933716,1.0,1.0,0.9285714328289032,0.6666666865348816,0.6071428656578064,0.6666666865348816,4.6315144300460815,9.207172393798828
24,1.1968361735343933,1.1375503540039062,1.0,1.0,0.9285714328289032,0.6666666865348816,0.7232142984867096,0.6666666865348816,4.764650940895081,7.202428817749023
25,1.0650832653045654,1.4017140865325928,1.0,1.0,0.9285714328289032,0.6666666865348816,0.7946428656578064,0.3333333432674408,4.452151298522949,4.668821334838867
26,1.1795136630535126,1.0548601150512695,1.0,1.0,0.8571428656578064,0.6666666865348816,0.7232142984867096,0.6666666865348816,3.909392237663269,3.2861804962158203
27,0.9594148397445679,0.944424569606781,1.0,1.0,0.8660714328289032,0.6666666865348816,0.7321428656578064,0.6666666865348816,3.5874890089035034,2.701920509338379
28,0.9619356989860535,1.5007789134979248,1.0,1.0,0.8660714328289032,0.6666666865348816,0.7946428656578064,0.6666666865348816,3.7497782707214355,2.9730005264282227
29,0.9594685435295105,1.457559585571289,1.0,1.0,0.8660714328289032,0.6666666865348816,0.7946428656578064,0.6666666865348816,3.6804146766662598,3.8065414428710938
30,0.8951019942760468,1.426796317100525,1.0,1.0,0.9375,0.6666666865348816,0.7232142984867096,0.6666666865348816,2.9824607968330383,5.24002742767334
