metric,n_pairs,mean_delta,median_delta,improved_ratio,wilcoxon_stat,p_value,effect_size_r,mean_ci_lo,mean_ci_hi,delta_p2_5,delta_p97_5,severe_negative_ratio
STOI,17656,-0.0010702085765893021,-0.0003673667032291772,0.392161304938831,48193183.0,0.0,0.2789504561776543,-0.0011163331528069994,-0.0010238039280276287,-0.00872359870031162,0.0025683653878215886,0.607838695061169
ESTOI,17656,-0.0043102826729580525,-0.0014491377128795224,0.3521748980516538,40317616.0,0.0,0.2789504561776543,-0.0044651897823876395,-0.004162282190395319,-0.03256496485243845,0.006238318759439931,0.6478251019483462
SI-SDR,17656,0.11599211450926697,0.11110808314469267,0.9094925237879474,10363076.0,0.0,0.2789504561776543,0.11379023146563202,0.118151509624119,-0.14817638874175376,0.3826212610637829,0.005720434979610331
LSD,17656,-1.90472737743296,-1.127194881439209,0.7845491617580426,15139578.5,0.0,0.2789504561776543,-1.9381283057376737,-1.8721052983131785,-7.372832179069519,0.7132889032363892,0.2154508382419574
HF-LSD,17656,-2.5590555652618194,-1.2893104553222656,0.7996714997734481,13869602.5,0.0,0.2789504561776543,-2.603926730060407,-2.5117117623293432,-9.764516294002533,0.7230129241943359,0.20032850022655188
