Severity,Method,PESQ,STOI,ESTOI,SI-SDR,LSD,HF-LSD
clean,degraded,nan,0.9999999999003655,0.9999999998364303,104.16351505812027,8.394183402749855,8.394138588032252
clean,base,nan,0.8819200433494095,0.8577269044125266,20.34632764821097,11.360482189017283,11.652800304788938
clean,v1,nan,0.8773283414145332,0.8393859421016525,20.013124913318038,7.434972064595827,6.64722482923051
light,degraded,nan,0.8649131138981296,0.8124465030573718,27.26671675918859,16.328462694732234,17.879796484826315
light,base,nan,0.790949474651311,0.7304569053504688,18.750812329415282,14.037018144634407,16.019857070815394
light,v1,nan,0.7873021823329498,0.7196902022219073,18.664731654637325,10.809684928034393,11.66656727186391
medium,degraded,nan,0.6902589716103791,0.5466934719501152,16.96641081162543,32.8020109257228,37.125678102735066
medium,base,nan,0.6667234984196252,0.5754034387884573,16.787225046788233,12.984929339986452,13.663183454056862
medium,v1,nan,0.665760651263288,0.5728336354993846,16.94219474547119,13.029331086387097,13.661706414021237
heavy,degraded,nan,0.5892082078603708,0.37823296420099184,6.90785440735436,43.21771079049984,48.29112904508349
heavy,base,nan,0.6017233017113612,0.4747939739810596,14.12953349429458,13.84402938627861,14.172562733502454
heavy,v1,nan,0.6019615530017772,0.47464892795830493,14.198035696879845,13.528700344999072,13.773160585215393
