Method,PESQ,STOI,ESTOI,SI-SDR,LSD,HF-LSD
degraded,nan,0.7860950733173112,0.6843432347612273,38.82612425907217,25.18559195342618,27.92268555516928
base,nan,0.7353290795329269,0.6595953056331281,17.503474629677267,13.056614764979187,13.877100890790912
v1,nan,0.7330881820031371,0.6516396769453124,17.4545217525766,11.200672106004097,11.437164775082763
