Method,STOI,ESTOI,SI_SDR,LSD,HF_LSD
base,nan,nan,17.503474629677264,13.056614764979187,13.824009577992936
v1_uncond,nan,nan,17.443010030527585,11.2048732613174,11.441838944461983
v1_cond,nan,nan,17.4545217525766,11.200672106004097,11.44083548431665
