sample_id,severity,method,base_si_sdr,base_lsd,base_hf_lsd,stoi,estoi,si_sdr,lsd,hf_lsd,delta_si_sdr_vs_base,delta_lsd_vs_base,delta_hf_lsd_vs_base
adaptive_shard_00000.pt:36,clean,zero,27.602043006025628,9.25740909576416,9.6227445602417,nan,nan,26.337106184148517,5.58152961730957,5.496503829956055,-1.2649368218771109,-3.67587947845459,-4.1262407302856445
adaptive_shard_00000.pt:36,clean,shuffled,27.602043006025628,9.25740909576416,9.6227445602417,nan,nan,26.374139873912416,5.587903022766113,5.506827354431152,-1.2279031321132123,-3.669506072998047,-4.115917205810547
adaptive_shard_00000.pt:36,clean,predicted,27.602043006025628,9.25740909576416,9.6227445602417,nan,nan,26.377698101176694,5.5839362144470215,5.501256465911865,-1.2243449048489339,-3.6734728813171387,-4.121488094329834
adaptive_shard_00000.pt:36,clean,oracle,27.602043006025628,9.25740909576416,9.6227445602417,nan,nan,26.383175555899868,5.587887763977051,5.507363796234131,-1.2188674501257601,-3.6695213317871094,-4.115380764007568
adaptive_shard_00000.pt:37,light,zero,21.10331335757964,13.981661796569824,16.92120933532715,nan,nan,21.05127442409404,12.216785430908203,14.90772819519043,-0.05203893348560129,-1.764876365661621,-2.0134811401367188
adaptive_shard_00000.pt:37,light,shuffled,21.10331335757964,13.981661796569824,16.92120933532715,nan,nan,21.06366420402186,12.216422080993652,14.90977668762207,-0.03964915355778231,-1.7652397155761719,-2.011432647705078
adaptive_shard_00000.pt:37,light,predicted,21.10331335757964,13.981661796569824,16.92120933532715,nan,nan,21.060297338330457,12.216620445251465,14.908941268920898,-0.0430160192491833,-1.7650413513183594,-2.01226806640625
adaptive_shard_00000.pt:37,light,oracle,21.10331335757964,13.981661796569824,16.92120933532715,nan,nan,21.06484434055798,12.215357780456543,14.907099723815918,-0.0384690170216615,-1.7663040161132812,-2.0141096115112305
adaptive_shard_00000.pt:38,medium,zero,17.322489169842513,14.166529655456543,15.905009269714355,nan,nan,17.3707597117801,14.685406684875488,16.89568519592285,0.04827054193758684,0.5188770294189453,0.9906759262084961
adaptive_shard_00000.pt:38,medium,shuffled,17.322489169842513,14.166529655456543,15.905009269714355,nan,nan,17.375406571858857,14.675719261169434,16.881872177124023,0.05291740201634454,0.5091896057128906,0.976862907409668
adaptive_shard_00000.pt:38,medium,predicted,17.322489169842513,14.166529655456543,15.905009269714355,nan,nan,17.37442208769543,14.681339263916016,16.890085220336914,0.051932917852916205,0.5148096084594727,0.9850759506225586
adaptive_shard_00000.pt:38,medium,oracle,17.322489169842513,14.166529655456543,15.905009269714355,nan,nan,17.373732844674812,14.685937881469727,16.896812438964844,0.051243674832299746,0.5194082260131836,0.9918031692504883
adaptive_shard_00000.pt:39,heavy,zero,14.987506080591599,15.342086791992188,16.65317726135254,nan,nan,15.037907246126807,15.184504508972168,16.82426643371582,0.05040116553520768,-0.15758228302001953,0.17108917236328125
adaptive_shard_00000.pt:39,heavy,shuffled,14.987506080591599,15.342086791992188,16.65317726135254,nan,nan,15.042282207213036,15.162257194519043,16.792917251586914,0.05477612662143727,-0.17982959747314453,0.139739990234375
adaptive_shard_00000.pt:39,heavy,predicted,14.987506080591599,15.342086791992188,16.65317726135254,nan,nan,15.0422176267025,15.163243293762207,16.794706344604492,0.054711546110901565,-0.17884349822998047,0.14152908325195312
adaptive_shard_00000.pt:39,heavy,oracle,14.987506080591599,15.342086791992188,16.65317726135254,nan,nan,15.042203692930546,15.16348934173584,16.795141220092773,0.054697612338946655,-0.17859745025634766,0.14196395874023438
adaptive_shard_00000.pt:44,clean,zero,27.757568308365403,10.225346565246582,10.672922134399414,nan,nan,25.955425393405605,6.286550045013428,5.330801010131836,-1.8021429149597985,-3.9387965202331543,-5.342121124267578
adaptive_shard_00000.pt:44,clean,shuffled,27.757568308365403,10.225346565246582,10.672922134399414,nan,nan,26.333104417101197,6.197176933288574,5.192785739898682,-1.4244638912642067,-4.028169631958008,-5.480136394500732
adaptive_shard_00000.pt:44,clean,predicted,27.757568308365403,10.225346565246582,10.672922134399414,nan,nan,25.977117469890054,6.2852067947387695,5.332268714904785,-1.7804508384753497,-3.9401397705078125,-5.340653419494629
adaptive_shard_00000.pt:44,clean,oracle,27.757568308365403,10.225346565246582,10.672922134399414,nan,nan,25.97206483486298,6.286195755004883,5.3362040519714355,-1.7855034735024233,-3.939150810241699,-5.3367180824279785
adaptive_shard_00000.pt:45,light,zero,24.89023039259019,13.909435272216797,15.211015701293945,nan,nan,24.25404393173054,11.053574562072754,11.443166732788086,-0.6361864608596512,-2.855860710144043,-3.7678489685058594
adaptive_shard_00000.pt:45,light,shuffled,24.89023039259019,13.909435272216797,15.211015701293945,nan,nan,24.273423597251917,11.050422668457031,11.442956924438477,-0.6168067953382739,-2.8590126037597656,-3.7680587768554688
adaptive_shard_00000.pt:45,light,predicted,24.89023039259019,13.909435272216797,15.211015701293945,nan,nan,24.27179557271129,11.051773071289062,11.436319351196289,-0.6184348198788996,-2.8576622009277344,-3.7746963500976562
adaptive_shard_00000.pt:45,light,oracle,24.89023039259019,13.909435272216797,15.211015701293945,nan,nan,24.265393118301937,11.0514554977417,11.447359085083008,-0.6248372742882538,-2.8579797744750977,-3.7636566162109375
adaptive_shard_00000.pt:46,medium,zero,19.801166194876924,13.736441612243652,15.817634582519531,nan,nan,19.833023970950133,14.394989967346191,16.118974685668945,0.03185777607320972,0.6585483551025391,0.30134010314941406
adaptive_shard_00000.pt:46,medium,shuffled,19.801166194876924,13.736441612243652,15.817634582519531,nan,nan,19.837841196726487,14.392340660095215,16.11787986755371,0.03667500184956296,0.6558990478515625,0.3002452850341797
adaptive_shard_00000.pt:46,medium,predicted,19.801166194876924,13.736441612243652,15.817634582519531,nan,nan,19.838646533540967,14.391585350036621,16.115314483642578,0.03748033866404299,0.6551437377929688,0.2976799011230469
adaptive_shard_00000.pt:46,medium,oracle,19.801166194876924,13.736441612243652,15.817634582519531,nan,nan,19.841558700821896,14.389097213745117,16.1094913482666,0.0403925059449719,0.6526556015014648,0.2918567657470703
adaptive_shard_00000.pt:47,heavy,zero,15.121345352608193,13.426857948303223,14.577459335327148,nan,nan,15.081748088279102,13.65923023223877,14.631333351135254,-0.03959726432909072,0.23237228393554688,0.05387401580810547
