sample_id,severity,method,stoi,estoi,si_sdr,lsd,hf_lsd
test_0000_clean,clean,degraded,0.9997293106288248,0.9996448642971586,82.36954589836068,5.98291015625,5.98610782623291
test_0000_clean,clean,base,0.8963729537839652,0.883424657247771,18.980873662435346,11.12756061553955,11.294855117797852
test_0000_clean,clean,edcr_predicted_0p75,0.895036636915129,0.8757945561680724,19.069492922101887,6.057674407958984,4.996716022491455
test_0000_clean,clean,fullsubnet_plus,0.9915432041463261,0.9763513684092159,26.518894151553717,4.052960395812988,4.056503772735596
test_0000_light,light,degraded,0.9145115858711532,0.8942827912203106,23.122349556309267,12.736407279968262,14.555673599243164
test_0000_light,light,base,0.8661323773484682,0.8231473762603474,19.002813975183063,14.398263931274414,17.346492767333984
test_0000_light,light,edcr_predicted_0p75,0.8640449574975636,0.8164609275679574,19.17109203402864,11.163508415222168,12.768482208251953
test_0000_light,light,fullsubnet_plus,0.9062265971037702,0.8681936456140149,19.64229328748147,13.347468376159668,16.93375587463379
test_0000_medium,medium,degraded,0.6835951103914479,0.5405271217498164,14.373915645208895,33.72190856933594,37.572811126708984
test_0000_medium,medium,base,0.7223635328973396,0.5669897873046189,16.694698005588936,12.87896728515625,13.902152061462402
test_0000_medium,medium,edcr_predicted_0p75,0.7215783635833529,0.5657383356515984,16.85623473411926,13.250638008117676,14.47005844116211
test_0000_medium,medium,fullsubnet_plus,0.7096989844187792,0.6045711260907632,16.386841249613987,13.953498840332031,15.94823169708252
test_0000_heavy,heavy,degraded,0.6475948126966972,0.45310193593003323,6.900801085263575,41.76057434082031,45.982662200927734
test_0000_heavy,heavy,base,0.6379863774677293,0.5126100299678156,14.511138079945987,14.015371322631836,14.830924034118652
test_0000_heavy,heavy,edcr_predicted_0p75,0.6383534810601963,0.5135003708981367,14.619689615980437,13.928545951843262,14.785337448120117
test_0000_heavy,heavy,fullsubnet_plus,0.6640626141340225,0.5512192330418513,14.609783992367086,16.80375099182129,19.056488037109375
test_0001_clean,clean,degraded,0.9999870290729945,0.9999305252687254,84.12819999075255,7.727883815765381,7.74686336517334
test_0001_clean,clean,base,0.9183950129608348,0.89159226211754,22.70664102578522,10.728407859802246,10.942596435546875
test_0001_clean,clean,edcr_predicted_0p75,0.9155431606271588,0.8746095038772547,22.682207544815647,6.1648945808410645,5.801009178161621
test_0001_clean,clean,fullsubnet_plus,0.9988134986740598,0.9966869667196162,38.3989459478586,5.484853744506836,5.419670104980469
test_0001_light,light,degraded,0.8709398283849362,0.792974063841524,32.944928549256055,15.741643905639648,16.852771759033203
test_0001_light,light,base,0.8412862428892194,0.7661441870388058,23.532815518692452,12.930366516113281,14.843091011047363
test_0001_light,light,edcr_predicted_0p75,0.8384251975539263,0.7530292984413741,23.606348993708096,10.427482604980469,11.80421257019043
test_0001_light,light,fullsubnet_plus,0.8591871886741286,0.7941293711796574,31.155867028900257,11.148422241210938,11.598663330078125
test_0001_medium,medium,degraded,0.7115409993071232,0.5354824081527988,15.832138608422774,35.53771209716797,40.23093795776367
test_0001_medium,medium,base,0.732691367386163,0.6044485626154508,21.993422956415753,12.454304695129395,13.068020820617676
test_0001_medium,medium,edcr_predicted_0p75,0.7341280927130618,0.6059760231504785,22.128357864330997,12.804972648620605,13.593511581420898
test_0001_medium,medium,fullsubnet_plus,0.7479692543738654,0.649805656473513,22.403498021340837,13.198259353637695,14.7967529296875
test_0001_heavy,heavy,degraded,0.6136796759204065,0.3845453151111756,6.845058698803607,43.57634353637695,48.983516693115234
test_0001_heavy,heavy,base,0.6720702006221105,0.5044840312082867,16.68677485990726,13.380943298339844,13.761372566223145
test_0001_heavy,heavy,edcr_predicted_0p75,0.6725989585369583,0.5038715303523859,16.713677896249003,13.302626609802246,13.606864929199219
test_0001_heavy,heavy,fullsubnet_plus,0.6851698448139483,0.534108461750462,17.260570407126373,16.138408660888672,18.24425506591797
test_0002_clean,clean,degraded,0.9999999770016357,0.9999998348435314,77.50091865820932,1.0549290180206299,1.1459110975265503
test_0002_clean,clean,base,0.9948309832830634,0.9873742441920931,26.48548427357181,7.655450344085693,7.386465549468994
test_0002_clean,clean,edcr_predicted_0p75,0.9948305083586324,0.9878245648768813,25.946052974449493,7.721804141998291,6.82219934463501
test_0002_clean,clean,fullsubnet_plus,0.9999848155217697,0.9999466593486621,40.54926585726634,2.3349881172180176,2.6323602199554443
test_0002_light,light,degraded,0.9998643729028971,0.9988527764019879,26.17626273160711,10.561800003051758,12.930215835571289
test_0002_light,light,base,0.995902874194356,0.9842999013654633,23.723573349493677,14.657219886779785,17.70391273498535
test_0002_light,light,edcr_predicted_0p75,0.995942284958646,0.9853459529006304,23.7061499025034,13.338068962097168,15.164734840393066
test_0002_light,light,fullsubnet_plus,0.9998230077734952,0.9987975138266827,25.756779557671102,10.969612121582031,14.089092254638672
test_0002_medium,medium,degraded,0.9681383141091849,0.8349389389730596,14.267578986976757,24.419178009033203,28.70720863342285
test_0002_medium,medium,base,0.9672804466458425,0.8599523836632273,16.465779832589533,16.918909072875977,19.772062301635742
test_0002_medium,medium,edcr_predicted_0p75,0.967612187497887,0.8617564424214496,16.492501755049734,17.77223777770996,20.372800827026367
test_0002_medium,medium,fullsubnet_plus,0.9750403307384226,0.8901019622623538,16.55814528262398,17.48906135559082,20.475357055664062
test_0002_heavy,heavy,degraded,0.8798016110923822,0.5590964312400325,5.903922993954016,32.733768463134766,37.39047622680664
test_0002_heavy,heavy,base,0.9284731463584596,0.7296071464093525,13.829421574751438,16.274089813232422,17.680696487426758
test_0002_heavy,heavy,edcr_predicted_0p75,0.9289072788367364,0.7309200533885774,13.80904913733958,17.17355728149414,18.469308853149414
test_0002_heavy,heavy,fullsubnet_plus,0.9452605749482241,0.7798022312551499,13.955250995500775,16.55838394165039,18.759933471679688
test_0003_clean,clean,degraded,0.9999784088679571,0.9999513702586208,82.2759170882658,8.889503479003906,8.902382850646973
test_0003_clean,clean,base,0.9484501915744159,0.9368016253381588,23.77518921007079,9.874297142028809,9.916958808898926
test_0003_clean,clean,edcr_predicted_0p75,0.9492045288274312,0.9352928586595531,23.838776358849046,6.495450019836426,6.054447174072266
test_0003_clean,clean,fullsubnet_plus,0.9984126693937534,0.9966647055901685,36.111924982011914,6.256682395935059,6.0240325927734375
test_0003_light,light,degraded,0.9579948352142911,0.942881430875416,26.36081904186657,13.643494606018066,14.433171272277832
test_0003_light,light,base,0.9198171445696751,0.9058344427608828,21.888093805467182,12.052255630493164,14.013965606689453
test_0003_light,light,edcr_predicted_0p75,0.9201191404354498,0.9054073035149579,21.999386677345008,9.100293159484863,10.064537048339844
test_0003_light,light,fullsubnet_plus,0.9614476283196037,0.9424492618093924,23.546657961559813,10.672993659973145,12.365699768066406
test_0003_medium,medium,degraded,0.8374684798967479,0.7240889438594121,13.19983701776585,36.9505729675293,41.223655700683594
test_0003_medium,medium,base,0.846628402311476,0.7963468847317555,16.035704805433898,12.41222095489502,12.802660942077637
test_0003_medium,medium,edcr_predicted_0p75,0.847069314678612,0.7962864288117785,16.1204553691771,11.944031715393066,12.894326210021973
test_0003_medium,medium,fullsubnet_plus,0.8591810768128262,0.7935060726832326,15.909010514322874,13.908427238464355,15.79159164428711
test_0003_heavy,heavy,degraded,0.778264609517275,0.5940682279509668,5.281429975310987,44.536014556884766,49.36231231689453
test_0003_heavy,heavy,base,0.80195700890414,0.7125675938949075,13.41611454103672,14.2047758102417,14.399637222290039
test_0003_heavy,heavy,edcr_predicted_0p75,0.8022852724576188,0.7105455746855531,13.410775894818691,13.47916316986084,13.868091583251953
test_0003_heavy,heavy,fullsubnet_plus,0.8150050293678025,0.7512983701231232,13.609919807337462,17.397857666015625,19.645681381225586
test_0004_clean,clean,degraded,0.9998708098437383,0.9998032456516482,76.93378769497214,3.0073797702789307,3.084918737411499
test_0004_clean,clean,base,0.9083257297630394,0.8534407628437997,18.509342114931403,11.96945571899414,11.777546882629395
test_0004_clean,clean,edcr_predicted_0p75,0.9072677376383846,0.8445925591601918,18.997387903408274,8.896200180053711,7.421526908874512
test_0004_clean,clean,fullsubnet_plus,0.997181688516502,0.9891295823850809,32.086240404715774,2.1588473320007324,2.346907138824463
test_0004_light,light,degraded,0.910358654051402,0.8458644735856614,27.729627890711047,12.163867950439453,13.577199935913086
test_0004_light,light,base,0.8512870576529912,0.7628602041804776,17.97341966853193,15.119415283203125,17.422883987426758
test_0004_light,light,edcr_predicted_0p75,0.8517100454671468,0.7583542836710038,18.408285378838027,12.483405113220215,13.032586097717285
test_0004_light,light,fullsubnet_plus,0.9239853733672733,0.8593458436783932,22.582353429034036,10.147866249084473,12.227774620056152
test_0004_medium,medium,degraded,0.8222605908767342,0.6532964903656946,19.354234491019124,23.435728073120117,26.72319984436035
test_0004_medium,medium,base,0.8086620319555755,0.6389692801113233,17.26882248794076,15.84938907623291,18.102643966674805
test_0004_medium,medium,edcr_predicted_0p75,0.8086498041389323,0.6359596797682177,17.568197120117038,15.738475799560547,17.28402328491211
test_0004_medium,medium,fullsubnet_plus,0.8643286661073621,0.7259126090205805,18.599456381475857,14.981269836425781,18.502878189086914
test_0004_heavy,heavy,degraded,0.7169877444395343,0.4161929407292199,5.327568808514776,37.29050827026367,41.30580520629883
test_0004_heavy,heavy,base,0.728398036619823,0.5215792576258119,14.418587410702784,15.155136108398438,15.8795747756958
test_0004_heavy,heavy,edcr_predicted_0p75,0.727557063366023,0.5197482703766717,14.539507842621086,15.620404243469238,16.254911422729492
test_0004_heavy,heavy,fullsubnet_plus,0.7150725743949812,0.57206270275723,14.521544221525236,16.169801712036133,17.943208694458008
