Severity,Method,STOI,ESTOI,SI-SDR,LSD,HF-LSD
clean,degraded,0.99991310708303,0.9998659680639369,80.64167386611209,5.332521247863769,5.373236775398254
clean,base,0.9332749742730637,0.9105267103478726,22.091506057358913,10.271034336090088,10.263684558868409
clean,edcr_predicted_0p75,0.9323765144733471,0.9036228085483907,22.10678354072487,7.0672046661376955,6.219179725646972
clean,fullsubnet_plus,0.9971871752504823,0.9917558564905488,34.73305426868127,4.057666397094726,4.095894765853882
light,degraded,0.9307338552849359,0.89497110718498,27.26679755395001,12.969442749023438,14.469806480407716
light,base,0.894885139330942,0.8484572223211954,21.22414326347366,13.831504249572754,16.266069221496583
light,edcr_predicted_0p75,0.8940483251825466,0.8437195532191847,21.378252597284636,11.302551651000977,12.566910552978516
light,fullsubnet_plus,0.9301339590476543,0.8925831272216282,24.536790252929336,11.257272529602051,13.442997169494628
medium,degraded,0.8046006989162476,0.6576667806201563,15.40554094987868,30.813019943237304,34.89156265258789
medium,base,0.8155251562392793,0.6933413796852752,17.691685617593777,14.10275821685791,15.529508018493653
medium,edcr_predicted_0p75,0.815807552522369,0.6931433819607046,17.833149368558825,14.30207118988037,15.722944068908692
medium,fullsubnet_plus,0.8312436624902512,0.7327794853060887,17.971390289875508,14.706103324890137,17.102962303161622
heavy,degraded,0.7272656907332591,0.4814009701922856,6.051756312369392,39.9794418334961,44.60495452880859
heavy,base,0.7537769539944524,0.5961696118212348,14.572407293268839,14.606063270568848,15.310441017150879
heavy,edcr_predicted_0p75,0.7539404108515065,0.5957171599402649,14.61854007740176,14.700859451293946,15.39690284729004
heavy,fullsubnet_plus,0.7649141275317957,0.6376981997855633,14.791413884771387,16.613640594482423,18.729913330078126
