Method,STOI,ESTOI,SI-SDR,LSD,HF-LSD
degraded,0.8656283380043682,0.7584762065153396,32.341442170577544,22.27360644340515,24.834890109300613
base,0.8493655559594343,0.7621237310438944,18.894935557923798,13.2028400182724,14.34242570400238
edcr_predicted_0p75,0.8490432007574424,0.7590507259171363,18.98418139599252,11.843171739578247,12.476484298706055
fullsubnet_plus,0.8808697310800457,0.8137041672009572,23.008162174064374,11.658670711517335,13.342941892147063
