sample_id,shard_file,offset,severity,noise_target,snr_target,bandwidth_target,bit_target,method,pesq,stoi,estoi,si_sdr,lsd,hf_lsd,delta_stoi_vs_base,delta_estoi_vs_base,delta_si_sdr_vs_base,delta_lsd_vs_base,delta_hf_lsd_vs_base
adaptive_shard_00000.pt:46,adaptive_shard_00000.pt,46,medium,1.0,24.849552154541016,2,2,v1,nan,nan,nan,19.841558700821896,14.389097213745117,15.94435977935791,nan,nan,0.04039250594496835,0.6526556015014648,0.20537185668945312
adaptive_shard_00000.pt:46,adaptive_shard_00000.pt,46,medium,1.0,24.849552154541016,2,2,v2,nan,nan,nan,19.581088119768037,13.70208740234375,15.988862991333008,nan,nan,-0.22007807510889066,-0.034354209899902344,0.24987506866455078
adaptive_shard_00000.pt:47,adaptive_shard_00000.pt,47,heavy,1.0,5.447199821472168,2,3,degraded,nan,nan,nan,5.2656931146481964,41.42466735839844,47.182987213134766,nan,nan,-9.855652237959994,27.997809410095215,32.76944828033447
adaptive_shard_00000.pt:47,adaptive_shard_00000.pt,47,heavy,1.0,5.447199821472168,2,3,base,nan,nan,nan,15.121345352608191,13.426857948303223,14.413538932800293,nan,nan,0.0,0.0,0.0
adaptive_shard_00000.pt:47,adaptive_shard_00000.pt,47,heavy,1.0,5.447199821472168,2,3,v1,nan,nan,nan,15.093888188919372,13.606950759887695,14.349604606628418,nan,nan,-0.02745716368881901,0.18009281158447266,-0.063934326171875
adaptive_shard_00000.pt:47,adaptive_shard_00000.pt,47,heavy,1.0,5.447199821472168,2,3,v2,nan,nan,nan,15.021407950954853,13.575140953063965,14.138178825378418,nan,nan,-0.09993740165333875,0.1482830047607422,-0.275360107421875
adaptive_shard_00001.pt:40,adaptive_shard_00001.pt,40,clean,0.0,0.0,0,0,degraded,nan,nan,nan,107.06663507123676,7.015623092651367,7.015560626983643,nan,nan,89.9841113302954,-5.043731689453125,-5.854624271392822
adaptive_shard_00001.pt:40,adaptive_shard_00001.pt,40,clean,0.0,0.0,0,0,base,nan,nan,nan,17.08252374094135,12.059354782104492,12.870184898376465,nan,nan,0.0,0.0,0.0
adaptive_shard_00001.pt:40,adaptive_shard_00001.pt,40,clean,0.0,0.0,0,0,v1,nan,nan,nan,17.10827354546957,7.265481948852539,5.9101243019104,nan,nan,0.025749804528217624,-4.793872833251953,-6.9600605964660645
adaptive_shard_00001.pt:40,adaptive_shard_00001.pt,40,clean,0.0,0.0,0,0,v2,nan,nan,nan,17.01875288710196,7.984895706176758,8.343846321105957,nan,nan,-0.06377085383939018,-4.074459075927734,-4.526338577270508
adaptive_shard_00001.pt:41,adaptive_shard_00001.pt,41,light,0.0,0.0,1,1,degraded,nan,nan,nan,24.855158203879558,12.276288986206055,14.204766273498535,nan,nan,7.064851993812944,-3.728137969970703,-5.769890785217285
adaptive_shard_00001.pt:41,adaptive_shard_00001.pt,41,light,0.0,0.0,1,1,base,nan,nan,nan,17.790306210066614,16.004426956176758,19.97465705871582,nan,nan,0.0,0.0,0.0
adaptive_shard_00001.pt:41,adaptive_shard_00001.pt,41,light,0.0,0.0,1,1,v1,nan,nan,nan,17.85470293512676,11.78536319732666,13.124019622802734,nan,nan,0.0643967250601456,-4.219063758850098,-6.850637435913086
adaptive_shard_00001.pt:41,adaptive_shard_00001.pt,41,light,0.0,0.0,1,1,v2,nan,nan,nan,17.733779047866186,14.220877647399902,18.815820693969727,nan,nan,-0.056527162200428194,-1.7835493087768555,-1.1588363647460938
adaptive_shard_00001.pt:42,adaptive_shard_00001.pt,42,medium,1.0,21.33838653564453,2,2,degraded,nan,nan,nan,19.068864282328953,29.544109344482422,33.219242095947266,nan,nan,0.21596761229353234,16.658620834350586,19.582694053649902
adaptive_shard_00001.pt:42,adaptive_shard_00001.pt,42,medium,1.0,21.33838653564453,2,2,base,nan,nan,nan,18.85289667003542,12.885488510131836,13.636548042297363,nan,nan,0.0,0.0,0.0
adaptive_shard_00001.pt:42,adaptive_shard_00001.pt,42,medium,1.0,21.33838653564453,2,2,v1,nan,nan,nan,19.130468886833967,13.221702575683594,13.547502517700195,nan,nan,0.2775722167985464,0.3362140655517578,-0.08904552459716797
adaptive_shard_00001.pt:42,adaptive_shard_00001.pt,42,medium,1.0,21.33838653564453,2,2,v2,nan,nan,nan,18.747629087877783,12.702736854553223,13.614052772521973,nan,nan,-0.10526758215763721,-0.18275165557861328,-0.022495269775390625
adaptive_shard_00001.pt:43,adaptive_shard_00001.pt,43,heavy,1.0,5.25078010559082,2,3,degraded,nan,nan,nan,5.156686629027321,43.42734909057617,47.935447692871094,nan,nan,-10.727464243105945,29.72940444946289,34.043500900268555
adaptive_shard_00001.pt:43,adaptive_shard_00001.pt,43,heavy,1.0,5.25078010559082,2,3,base,nan,nan,nan,15.884150872133267,13.697944641113281,13.891946792602539,nan,nan,0.0,0.0,0.0
adaptive_shard_00001.pt:43,adaptive_shard_00001.pt,43,heavy,1.0,5.25078010559082,2,3,v1,nan,nan,nan,15.917095951803443,13.604618072509766,13.802485466003418,nan,nan,0.032945079670176014,-0.09332656860351562,-0.0894613265991211
adaptive_shard_00001.pt:43,adaptive_shard_00001.pt,43,heavy,1.0,5.25078010559082,2,3,v2,nan,nan,nan,15.77195333701974,13.62171745300293,13.71757984161377,nan,nan,-0.11219753511352692,-0.07622718811035156,-0.17436695098876953
adaptive_shard_00001.pt:84,adaptive_shard_00001.pt,84,clean,0.0,0.0,0,0,degraded,nan,nan,nan,107.43158117439366,12.076148986816406,12.075967788696289,nan,nan,87.76609156834783,0.19217395782470703,-0.3363208770751953
adaptive_shard_00001.pt:84,adaptive_shard_00001.pt,84,clean,0.0,0.0,0,0,base,nan,nan,nan,19.66548960604583,11.8839750289917,12.412288665771484,nan,nan,0.0,0.0,0.0
adaptive_shard_00001.pt:84,adaptive_shard_00001.pt,84,clean,0.0,0.0,0,0,v1,nan,nan,nan,19.682900200347312,7.567347526550293,7.028984546661377,nan,nan,0.017410594301480842,-4.316627502441406,-5.383304119110107
adaptive_shard_00001.pt:84,adaptive_shard_00001.pt,84,clean,0.0,0.0,0,0,v2,nan,nan,nan,19.41834798815677,7.357529163360596,7.039385795593262,nan,nan,-0.24714161788905997,-4.5264458656311035,-5.372902870178223
adaptive_shard_00001.pt:85,adaptive_shard_00001.pt,85,light,0.0,0.0,1,1,degraded,nan,nan,nan,33.79692623281271,16.565839767456055,17.092182159423828,nan,nan,14.125608560485894,3.1413803100585938,2.610724449157715
adaptive_shard_00001.pt:85,adaptive_shard_00001.pt,85,light,0.0,0.0,1,1,base,nan,nan,nan,19.671317672326815,13.424459457397461,14.481457710266113,nan,nan,0.0,0.0,0.0
adaptive_shard_00001.pt:85,adaptive_shard_00001.pt,85,light,0.0,0.0,1,1,v1,nan,nan,nan,19.734158503637133,9.956186294555664,11.00309944152832,nan,nan,0.06284083131031792,-3.468273162841797,-3.478358268737793
adaptive_shard_00001.pt:85,adaptive_shard_00001.pt,85,light,0.0,0.0,1,1,v2,nan,nan,nan,19.432819202502696,10.831673622131348,13.429051399230957,nan,nan,-0.23849846982411904,-2.5927858352661133,-1.0524063110351562
adaptive_shard_00001.pt:86,adaptive_shard_00001.pt,86,medium,1.0,24.82425308227539,2,1,degraded,nan,nan,nan,21.41318985362996,31.02129364013672,35.086971282958984,nan,nan,1.6035928186127677,19.113224983215332,22.949456214904785
adaptive_shard_00001.pt:86,adaptive_shard_00001.pt,86,medium,1.0,24.82425308227539,2,1,base,nan,nan,nan,19.80959703501719,11.908068656921387,12.1375150680542,nan,nan,0.0,0.0,0.0
adaptive_shard_00001.pt:86,adaptive_shard_00001.pt,86,medium,1.0,24.82425308227539,2,1,v1,nan,nan,nan,20.224286781589264,11.53709602355957,12.404282569885254,nan,nan,0.4146897465720727,-0.3709726333618164,0.2667675018310547
