stage,params,audio_duration_s,mean_time_s,std_time_s,rtf,peak_memory_mb
Base,48245,5.846875,0.22979877998586745,0.027692630173171195,0.039302837838309776,0.02458667755126953
Base+Estimator,50048,5.846875,0.23174511997494845,0.013725051045872414,0.03963572335220925,0.004321098327636719
Base+Estimator+V1,52232,5.846875,0.23511683999095112,0.011485282352398337,0.04021239379855925,0.004321098327636719
