Method,PESQ,STOI,ESTOI,SI-SDR,LSD,HF-LSD
degraded,nan,nan,nan,38.78649699477512,25.140906590942972,27.880801423128947
base,nan,nan,nan,17.070822434206406,13.322334894144973,14.132409243276879
v1,nan,nan,nan,17.058690667182958,11.385354355119395,11.59504288015022
v2,nan,nan,nan,17.075445208593898,11.714237537435887,12.455380306721382
