Method,PESQ,STOI,ESTOI,SI-SDR,LSD,HF-LSD
degraded,nan,nan,nan,38.82612425907217,25.18559195342618,27.92268555516928
base,nan,nan,nan,17.503474629677267,13.056614764979187,13.877100890790912
v1,nan,nan,nan,17.4545217525766,11.200672106004097,11.437164775082763
v2,nan,nan,nan,17.219437175729805,11.613607895206398,12.514247110192205
