Method,PESQ,STOI,ESTOI,SI-SDR,LSD,HF-LSD
degraded,nan,0.7845428777430813,0.6806626160207087,38.78607045322944,25.140906590942972,27.880801423128947
base,nan,0.7332386193001507,0.6481203230086655,17.070822455966276,13.322334894144973,14.132409243276879
v1,nan,0.7308926330544243,0.6396311359292262,17.058690728457442,11.385354359818628,11.595042872561228
v2,nan,0.7227467991185585,0.6166096394773892,16.85388904940071,11.81290233983246,12.727741415164672
