epoch,train_loss,valid_loss,train_noise_acc,valid_noise_acc,train_bw_acc,valid_bw_acc,train_bit_acc,valid_bit_acc,train_snr_mae_db,valid_snr_mae_db
1,1.0053000076260377,0.39722681736600574,0.9621502707581228,0.9997169384057971,0.8757050992779783,0.989632993504621,0.6867666967509025,0.8190431923106096,3.0013493628708465,1.5783157849657363
2,0.3787274021749462,0.3153617727583733,0.9998237251805054,0.9998301630434783,0.9862787680505415,0.9930297326350558,0.8254315207581228,0.8407535198805989,1.4996907670145,1.250780827757241
3,0.3307953236174067,0.32196281958317413,0.999837827166065,0.9998301630434783,0.9904318027978339,0.9879207187804623,0.8372842396209387,0.8400960227717524,1.3844547036107266,1.1248668890068496
4,0.30818143384766494,0.29230254435020947,0.9998307761732852,0.9998867753623188,0.9917996953971119,0.9930863449538964,0.8425724842057761,0.8533989242885424,1.2950938891632893,1.1593592045963674
5,0.29208102268217273,0.258457241066988,0.9998660311371841,0.9998867753623188,0.9926246615523465,0.995697463768116,0.8477620148916968,0.8571492416271265,1.2516091248618997,1.0814633326254028
6,0.28337958089281073,0.25559995420601056,0.9998942351083032,0.9998867753623188,0.9926246615523465,0.9950677761133166,0.8510900834837545,0.857970616955688,1.2243264164735264,1.0450365310129912
7,0.276276407151446,0.26659725671229156,0.9999012861010831,0.9996603260869565,0.992674018501805,0.9963768115942029,0.8528457806859205,0.8490834763084633,1.1816615158900456,1.3248025161632593
8,0.2680822070486279,0.24058576014594754,0.9998519291516246,0.9998867753623188,0.9935130866425993,0.9955276268115942,0.8544886620036101,0.8630160663438879,1.1691828208709882,1.1230070953783782
9,0.2660517183398082,0.2454069496496864,0.9998801331227437,0.9999433876811594,0.9931041290613718,0.9945016529249109,0.8555674638989169,0.8629594540250474,1.2139825740230643,0.9933253708093063
10,0.2553162412038779,0.24853607364322827,0.9999576940433214,1.0,0.9939149932310469,0.9940914615340855,0.8589801444043321,0.8613812612450641,1.1451103868036925,1.3863879373108132
11,0.2525495873353972,0.24123446643352509,0.9999224390794224,0.9999433876811594,0.9942534408844765,0.9944450406060703,0.8587827166064982,0.8600295177404431,1.1199392313776464,1.0021932867990024
12,0.260303489030053,0.27381805838018225,0.9999506430505415,0.9997169384057971,0.9929419562274369,0.9915508593338124,0.8568789485559567,0.8507739003153815,1.1641876252119292,1.819503514663033
13,0.2520872731340061,0.22285160659879877,0.9999435920577617,1.0,0.9936893614620939,0.9968297101449275,0.8593044900722022,0.868026752402817,1.1251802104474835,1.0082872458126233
14,0.24846390677811006,0.2571309612712998,0.9999647450361011,1.0,0.9936611574909747,0.995294225388679,0.8604890568592057,0.8520610859428627,1.0452718466843078,1.4285529938296995
15,0.24655402440994656,0.24110595169274704,0.9999576940433214,0.9999433876811594,0.9939714011732852,0.993935529736505,0.8618569494584838,0.8598527286363684,1.157761594771478,0.9871783498404683
16,0.24144523410590546,0.23616075407767642,0.9999576940433214,0.9999433876811594,0.9946341944945848,0.9966598731884058,0.8614197879061372,0.8620616024818973,1.0834153342978619,0.9235468126725459
17,0.24729890602267607,0.23042874837267227,0.999936541064982,0.9999433876811594,0.9935412906137184,0.9972826086956522,0.8616806746389891,0.8645028843395952,1.1600255704743767,1.099490451639977
18,0.24275984962064007,0.22279785811037256,0.9999576940433214,0.9999433876811594,0.9941970329422383,0.9969925949538964,0.8614691448555957,0.8700856531875721,1.1322978515487285,1.0191792068274126
19,0.24314919789237666,0.2835874460313631,0.999936541064982,1.0,0.9936823104693141,0.986611683299576,0.8630767712093863,0.8565771597019141,1.0718280260958826,1.7718488340792449
20,0.23882390959490937,0.23347156138523764,0.9999717960288809,1.0,0.994627143501805,0.9972190442292587,0.86328125,0.8605320764624554,1.114279628015167,1.544265287509863
21,0.23580860728498831,0.21277934787929922,0.9999647450361011,1.0,0.9949091832129964,0.997452445652174,0.8646984995487365,0.8720243771870931,1.0573706219127463,0.877503179985544
22,0.24096697294539923,0.21600794381853464,0.9999788470216606,1.0,0.9942816448555957,0.9975656702898551,0.8630062612815884,0.869667517102283,1.0576219484478988,1.259131654449131
23,0.2392249098215723,0.25957940605239593,0.9999788470216606,0.9998301630434783,0.9942957468411552,0.9969925949538964,0.863901737364621,0.8515734249267025,1.0645899686572353,1.9066099256709002
24,0.24028434671649865,0.253783673695896,0.9999717960288809,1.0,0.9947047044223827,0.9957540760869565,0.8626678136281588,0.8489841568297234,1.1223880588362793,1.2016055696252463
25,0.23541723180979168,0.2206026160198709,0.9999788470216606,1.0,0.9946412454873647,0.9973392210144928,0.8638453294223827,0.8701988778252533,1.0895896338814002,1.3178226135779119
26,0.2392558435025198,0.22754744926224585,0.9999717960288809,0.9999433876811594,0.994267542870036,0.9970492072727369,0.8633658619133574,0.8685501684313235,1.0421368930529171,1.1264498251071875
27,0.22200087409479954,0.22183377284934555,0.9999717960288809,1.0,0.9962277188628159,0.9965466485507246,0.8686752594765343,0.8687825773073279,0.9634252514434636,1.3650217920109846
28,0.22436298744665586,0.219401097384052,0.9999717960288809,1.0,0.9958610672382672,0.9965466485507246,0.8695354805956679,0.8719320098559061,0.966026512401629,0.9527455706527268
29,0.222620049861364,0.24014516390752103,0.9999788470216606,1.0,0.9959104241877257,0.9930793919425079,0.8701207129963899,0.8595488097356714,0.9633519721590655,0.9790637190791144
