sample_id,shard_file,offset,severity,noise_target,snr_target,bandwidth_target,bit_target,method,pesq,stoi,estoi,si_sdr,lsd,hf_lsd,delta_stoi_vs_base,delta_estoi_vs_base,delta_si_sdr_vs_base,delta_lsd_vs_base,delta_hf_lsd_vs_base
adaptive_shard_00000.pt:0,adaptive_shard_00000.pt,0,clean,0.0,0.0,0,0,degraded,nan,0.9999999999996169,0.9999999999983893,107.5539667814183,6.188324928283691,6.188266277313232,0.04243467571949033,0.06998807862343148,79.95192377539267,-3.0690841674804688,-3.496448040008545
adaptive_shard_00000.pt:0,adaptive_shard_00000.pt,0,clean,0.0,0.0,0,0,base,nan,0.9575653242801265,0.9300119213749578,27.602043006025628,9.25740909576416,9.684714317321777,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00000.pt:0,adaptive_shard_00000.pt,0,clean,0.0,0.0,0,0,v1_s0p9,nan,0.9537284067712349,0.9211594471488022,26.999463810308114,5.431551933288574,5.307333469390869,-0.0038369175088915908,-0.008852474226155649,-0.6025791957175137,-3.825857162475586,-4.377380847930908
adaptive_shard_00000.pt:1,adaptive_shard_00000.pt,1,light,0.0,0.0,1,1,degraded,nan,0.9659704626359534,0.9156356546233249,22.416097391110696,14.318264961242676,16.546297073364258,0.10070890616224148,0.05420194429861991,1.3127840335310523,0.33660316467285156,-0.9970836639404297
adaptive_shard_00000.pt:1,adaptive_shard_00000.pt,1,light,0.0,0.0,1,1,base,nan,0.865261556473712,0.861433710324705,21.103313357579644,13.981661796569824,17.543380737304688,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00000.pt:1,adaptive_shard_00000.pt,1,light,0.0,0.0,1,1,v1_s0p9,nan,0.860802760236145,0.8516957183690956,21.168383674050368,12.147354125976562,15.298969268798828,-0.004458796237566953,-0.009737991955609315,0.06507031647072381,-1.8343076705932617,-2.2444114685058594
adaptive_shard_00000.pt:2,adaptive_shard_00000.pt,2,medium,1.0,21.09600067138672,2,1,degraded,nan,0.7937634240581849,0.6361358317962176,16.205542852417338,31.502277374267578,34.800540924072266,0.004481116602659596,-0.08403476574938673,-1.1169463174251746,17.335747718811035,18.640609741210938
adaptive_shard_00000.pt:2,adaptive_shard_00000.pt,2,medium,1.0,21.09600067138672,2,1,base,nan,0.7892823074555253,0.7201705975456043,17.322489169842513,14.166529655456543,16.159931182861328,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00000.pt:2,adaptive_shard_00000.pt,2,medium,1.0,21.09600067138672,2,1,v1_s0p9,nan,0.7886157984625422,0.7171818585657186,17.399605767250346,14.5596923828125,16.984079360961914,-0.0006665089929831503,-0.002988738979885719,0.07711659740783361,0.39316272735595703,0.8241481781005859
adaptive_shard_00000.pt:3,adaptive_shard_00000.pt,3,heavy,1.0,8.907058715820312,2,3,degraded,nan,0.7540476902780698,0.5118311788835783,8.360219574137265,41.53184127807617,45.32220458984375,-0.012903488131549401,-0.10943509119249428,-6.627286506454341,26.189754486083984,28.575489044189453
