epoch,train_loss,valid_loss
1,3.304847300052643,3.2774763107299805
2,3.2700904607772827,3.2395176887512207
3,3.2336853742599487,3.2123186588287354
4,3.2041077613830566,3.1845951080322266
5,3.175943434238434,3.154125690460205
6,3.128429412841797,3.134891986846924
7,3.1556844115257263,3.1211953163146973
8,3.1224141120910645,3.10842227935791
9,3.0793416500091553,3.0962908267974854
10,3.0717450976371765,3.0798115730285645
11,3.0690122842788696,3.061023712158203
12,3.0623902082443237,3.033369541168213
13,3.0183048248291016,2.9996604919433594
14,2.9792900681495667,2.9508304595947266
15,2.9121795296669006,2.8774962425231934
16,2.853252947330475,2.7709226608276367
17,2.714691162109375,2.6224517822265625
18,2.5767931938171387,2.4229331016540527
19,2.3232728242874146,2.223034620285034
20,2.242247462272644,2.1344263553619385
21,2.0873314142227173,1.9944604635238647
22,1.952086627483368,1.8812363147735596
23,1.735768347978592,1.7822716236114502
24,1.7707878649234772,1.7011990547180176
25,1.7398076355457306,1.636924386024475
26,1.5852487683296204,1.6045719385147095
27,1.577586829662323,1.5370323657989502
28,1.4946308732032776,1.4877488613128662
29,1.4626737833023071,1.4440174102783203
30,1.4696761965751648,1.4219913482666016
