Severity,Method,PESQ,STOI,ESTOI,SI-SDR,LSD,HF-LSD
clean,base,nan,0.8791912417215606,0.8448609583242742,19.596716576538167,11.728874781739943,11.921259205752927
clean,v1,nan,0.8742818520664941,0.8252454663189193,19.358009161814156,7.6886952689291395,6.864232966464518
clean,v2,nan,0.8545929096696121,0.7685801706468706,19.157395791179678,8.093338112513512,7.7219942693101045
light,base,nan,0.7933755305761909,0.7192851266883376,18.008581516061586,14.339189123016274,16.33878529033998
light,v1,nan,0.7894545993332541,0.7070277504715311,17.98568442114133,11.000284172692448,11.815373682360008
light,v2,nan,0.777508466401872,0.6764668666604721,17.805400348622495,12.479488638120374,15.306696723908605
medium,base,nan,0.6672344604955969,0.5649060742958271,16.747815156177424,13.184781406170975,13.892319037787884
medium,v1,nan,0.6662339176416665,0.5625282752807845,16.888710698338187,13.142067581266637,13.75993150815631
medium,v2,nan,0.6649612235635529,0.5581169620866997,16.59729448794022,12.972674258758863,13.944834821084855
heavy,base,nan,0.593153244407254,0.4634291327262234,13.930176575087925,14.036494265652697,14.377273439226725
heavy,v1,nan,0.5936001631762825,0.4637230516456696,14.002358632536092,13.710370416386288,13.94063333326408
heavy,v2,nan,0.5939245968391973,0.46327455851551474,13.855465569860447,13.70610834993709,13.937439846355126
