Condition,STOI,ESTOI,SI-SDR,LSD,HF-LSD
zero,nan,nan,17.443010030527585,11.2048732613174,11.441838944461983
shuffled,nan,nan,17.463675173410728,11.202345475344591,11.435977887099897
predicted,nan,nan,17.453004943127308,11.200760325915377,11.439438349764112
oracle,nan,nan,17.4545217525766,11.200672106004097,11.44083548431665
