Severity,Method,PESQ,STOI,ESTOI,SI-SDR,LSD,HF-LSD
clean,degraded,4.6430785179138185,0.99991310708303,0.9998659680639369,80.64167386611209,5.332521247863769,5.373236775398254
clean,base,3.743461799621582,0.9332749742730637,0.9105267103478738,22.091506057358913,10.271034336090088,10.263684558868409
clean,edcr_predicted_0p75,3.7705155849456786,0.9323765144733471,0.9036228085483893,22.10678354072487,7.0672046661376955,6.219179725646972
clean,fullsubnet_plus,4.495681858062744,0.9971871752504823,0.9917558564905488,34.73305426868127,4.057666397094726,4.095894765853882
clean,mpsenet_vb,4.5554546356201175,0.98611732505891,0.9681430691234896,29.36033862546079,5.198216772079467,5.357697677612305
light,degraded,3.1959737300872804,0.9307338552849359,0.8949711071849797,27.26679755395001,12.969442749023438,14.469806480407716
light,base,3.5880119800567627,0.894885139330942,0.8484572223211988,21.22414326347366,13.831504249572754,16.266069221496583
light,edcr_predicted_0p75,3.560301637649536,0.8940483251825466,0.8437195532191841,21.378252597284636,11.302551651000977,12.566910552978516
light,fullsubnet_plus,3.5109660148620607,0.9301339590476543,0.8925831272216278,24.536790252929336,11.257272529602051,13.442997169494628
light,mpsenet_vb,3.484125757217407,0.9244709212856389,0.8883686152613237,24.826945182300996,11.636159133911132,13.160399055480957
medium,degraded,1.3736891508102418,0.8046006989162476,0.6576667806201564,15.40554094987868,30.813019943237304,34.89156265258789
medium,base,2.4985697746276854,0.8155251562392793,0.6933413796852743,17.691685617593777,14.10275821685791,15.529508018493653
medium,edcr_predicted_0p75,2.437550735473633,0.815807552522369,0.693143381960704,17.833149368558825,14.30207118988037,15.722944068908692
medium,fullsubnet_plus,2.3325345516204834,0.8312436624902512,0.7327794853060892,17.971390289875508,14.706103324890137,17.102962303161622
medium,mpsenet_vb,2.1942656517028807,0.8207121913574381,0.7066337088748441,18.10320095808178,16.046840858459472,17.87875099182129
heavy,degraded,1.0997440099716187,0.7272656907332591,0.48140097019228556,6.051756312369392,39.9794418334961,44.60495452880859
heavy,base,1.8279141187667847,0.7537769539944524,0.5961696118212352,14.572407293268839,14.606063270568848,15.310441017150879
heavy,edcr_predicted_0p75,1.8195027589797974,0.7539404108515065,0.5957171599402648,14.61854007740176,14.700859451293946,15.39690284729004
heavy,fullsubnet_plus,1.8169161558151246,0.7649141275317957,0.6376981997855632,14.791413884771387,16.613640594482423,18.729913330078126
heavy,mpsenet_vb,1.5246715545654297,0.7564336908386264,0.5879995175890174,13.617937743042955,20.24462471008301,21.958796310424805
