Method,PESQ,STOI,ESTOI,SI-SDR,LSD,HF-LSD
degraded,2.5781213521957396,0.8656283380043682,0.7584762065153396,32.341442170577544,22.27360644340515,24.834890109300613
base,2.9144894182682037,0.8493655559594343,0.7621237310438955,18.894935557923798,13.2028400182724,14.34242570400238
edcr_predicted_0p75,2.8969676792621613,0.8490432007574424,0.7590507259171357,18.98418139599252,11.843171739578247,12.476484298706055
fullsubnet_plus,3.039024645090103,0.8808697310800457,0.8137041672009573,23.008162174064374,11.658670711517335,13.342941892147063
mpsenet_vb,2.9396293997764587,0.8719335321351535,0.7877862277121688,21.477105627221633,13.28146036863327,14.588911008834838
