Condition,STOI,ESTOI,SI-SDR,LSD,HF-LSD
zero,0.7321732449986152,0.6438115572893088,17.185116517768858,11.41639573813349,11.508761151619069
shuffled,0.732204233311904,0.6439266911518935,17.18918817857477,11.420867628569402,11.51058245588332
predicted,0.7321684107235613,0.6438100403357075,17.18681454871567,11.417607516712012,11.511072876324306
oracle,0.7321618164684489,0.6437919119584572,17.187485514706744,11.416032533544083,11.510556410327993
