Condition,STOI,ESTOI,SI-SDR,LSD,HF-LSD
zero,nan,nan,17.23950185414022,18.129588046544036,18.887082039470403
shuffled,nan,nan,17.229087129354756,18.081321870776968,18.780346638719802
predicted,nan,nan,17.217147598574602,18.092774243421957,18.75723498639926
oracle,nan,nan,17.224747507404604,18.09098638950939,18.789708013265905
