sample_id,severity,method,si_sdr,lsd,hf_lsd,stoi,estoi
adaptive_shard_00000.pt:0,clean,base,27.602043006025628,9.25740909576416,9.6227445602417,0.9575653242801265,0.9300119213749581
adaptive_shard_00000.pt:0,clean,v1_uncond,27.530631387863668,5.331644058227539,4.990954875946045,0.9551927432757712,0.9246064912115131
adaptive_shard_00000.pt:0,clean,v1_cond,27.54643009078194,5.335080146789551,4.998239517211914,0.955173558335202,0.9245709245010437
adaptive_shard_00000.pt:1,light,base,21.10331335757964,13.981661796569824,16.92120933532715,0.865261556473712,0.8614337103247066
adaptive_shard_00000.pt:1,light,v1_uncond,21.22889213519553,12.083889961242676,14.46236801147461,0.8622489595030639,0.8551050790001048
adaptive_shard_00000.pt:1,light,v1_cond,21.23220376433267,12.082602500915527,14.462190628051758,0.8622332053897743,0.8550752257136073
adaptive_shard_00000.pt:2,medium,base,17.322489169842513,14.166529655456543,15.905009269714355,0.7892823074555253,0.7201705975456056
adaptive_shard_00000.pt:2,medium,v1_uncond,17.407676572366235,14.4055757522583,16.47330093383789,0.7888353338940503,0.7188809224542217
adaptive_shard_00000.pt:2,medium,v1_cond,17.40808093727368,14.406190872192383,16.473756790161133,0.7888468007141869,0.7188890621803952
adaptive_shard_00000.pt:3,heavy,base,14.987506080591599,15.342086791992188,16.65317726135254,0.7669511784096192,0.6212662700760727
adaptive_shard_00000.pt:3,heavy,v1_uncond,15.045673590526725,15.090988159179688,16.66105842590332,0.7667801509575165,0.6213474733587356
adaptive_shard_00000.pt:3,heavy,v1_cond,15.042287294452386,15.090937614440918,16.6525936126709,0.7667819803110957,0.6213304096314617
adaptive_shard_00000.pt:4,clean,base,27.757568308365403,10.225346565246582,10.672922134399414,0.9473440363347737,0.9299878788381138
adaptive_shard_00000.pt:4,clean,v1_uncond,27.286741020425062,6.0946221351623535,4.8743696212768555,0.9460835366984605,0.9172787429914365
adaptive_shard_00000.pt:4,clean,v1_cond,27.296153199086962,6.092545986175537,4.87655782699585,0.9460783672041757,0.9172243832776752
adaptive_shard_00000.pt:5,light,base,24.89023039259019,13.909435272216797,15.211015701293945,0.8634060425538405,0.8393926982852571
adaptive_shard_00000.pt:5,light,v1_uncond,24.868983173165155,11.073946952819824,10.971634864807129,0.8606937212979037,0.8324038743936236
adaptive_shard_00000.pt:5,light,v1_cond,24.875032206766704,11.070802688598633,10.97251033782959,0.8606851337672652,0.8323497950516696
adaptive_shard_00000.pt:6,medium,base,19.801166194876924,13.736441612243652,15.817634582519531,0.7545668299529351,0.7572639556569959
adaptive_shard_00000.pt:6,medium,v1_uncond,19.91667685596604,14.247089385986328,15.946414947509766,0.753234367621891,0.7520571385472076
adaptive_shard_00000.pt:6,medium,v1_cond,19.918109832046916,14.24349594116211,15.9440279006958,0.7532618112908553,0.7521121118827268
adaptive_shard_00000.pt:7,heavy,base,15.121345352608193,13.426857948303223,14.577459335327148,0.7123527468263359,0.6171494069508522
adaptive_shard_00000.pt:7,heavy,v1_uncond,15.127400336084605,13.46662425994873,14.50369644165039,0.7139797753072107,0.6168646094391675
adaptive_shard_00000.pt:7,heavy,v1_cond,15.127839896146432,13.445096969604492,14.4898099899292,0.7138879134555706,0.6169515472336322
adaptive_shard_00000.pt:8,clean,base,17.08252374094135,12.059354782104492,12.742051124572754,0.859757263345364,0.7703024252271063
adaptive_shard_00000.pt:8,clean,v1_uncond,17.15732513622665,7.727658748626709,6.44201135635376,0.8585284037060632,0.7623694663270897
adaptive_shard_00000.pt:8,clean,v1_cond,17.152936841615055,7.720811367034912,6.435109615325928,0.8585160309501164,0.7623058928457642
adaptive_shard_00000.pt:9,light,base,17.79030621006661,16.004426956176758,19.343908309936523,0.8604333583577933,0.735174386451307
adaptive_shard_00000.pt:9,light,v1_uncond,17.884947030592222,12.320472717285156,13.38849925994873,0.8593672988988158,0.72684290398802
adaptive_shard_00000.pt:9,light,v1_cond,17.884867599760064,12.314813613891602,13.381989479064941,0.8593612495535182,0.7268228954410569
adaptive_shard_00000.pt:10,medium,base,18.85289667003542,12.885488510131836,13.519089698791504,0.6238997858064298,0.4823324813789281
adaptive_shard_00000.pt:10,medium,v1_uncond,19.077020147303145,13.236215591430664,13.683911323547363,0.6219929171455947,0.47867993187414803
adaptive_shard_00000.pt:10,medium,v1_cond,19.077327413664392,13.23526382446289,13.687323570251465,0.6220125568056812,0.4786945852014747
adaptive_shard_00000.pt:11,heavy,base,15.884150872133267,13.697944641113281,13.906518936157227,0.4591387140704218,0.34639161183937184
adaptive_shard_00000.pt:11,heavy,v1_uncond,15.925340756470918,13.548799514770508,13.759471893310547,0.4576809581730351,0.34247124116133887
adaptive_shard_00000.pt:11,heavy,v1_cond,15.929034038500376,13.542311668395996,13.757830619812012,0.4577728731117463,0.34271221546225195
adaptive_shard_00000.pt:12,clean,base,19.66548960604583,11.8839750289917,12.351991653442383,0.8466648835375,0.8910008250945036
adaptive_shard_00000.pt:12,clean,v1_uncond,19.776062086517673,7.9527668952941895,6.880513668060303,0.8408537608493505,0.8823379862354401
adaptive_shard_00000.pt:12,clean,v1_cond,19.782742285166567,7.951916217803955,6.884823799133301,0.8408240462349826,0.8822775412321853
adaptive_shard_00000.pt:13,light,base,19.671317672326815,13.424459457397461,14.266913414001465,0.6868443696716819,0.7619526833385885
adaptive_shard_00000.pt:13,light,v1_uncond,19.804186928624368,10.228865623474121,10.348888397216797,0.681945872144555,0.7537858074782878
adaptive_shard_00000.pt:13,light,v1_cond,19.81104925607245,10.226903915405273,10.34945297241211,0.6819635481428299,0.7537806728798939
adaptive_shard_00000.pt:14,medium,base,19.809597035017195,11.908068656921387,12.17731761932373,0.502561642093854,0.5372687584376733
adaptive_shard_00000.pt:14,medium,v1_uncond,20.148375138875736,11.566591262817383,12.263282775878906,0.5010352585552337,0.5384268045606174
adaptive_shard_00000.pt:14,medium,v1_cond,20.1543007710676,11.56638240814209,12.263623237609863,0.5010330805149734,0.5384209814794183
adaptive_shard_00000.pt:15,heavy,base,15.47175603347364,13.488886833190918,13.236479759216309,0.4688512837262785,0.44382065190864656
adaptive_shard_00000.pt:15,heavy,v1_uncond,15.549601724297444,12.352151870727539,12.4141845703125,0.4685456956993776,0.44304386739746726
adaptive_shard_00000.pt:15,heavy,v1_cond,15.549897629157394,12.403552055358887,12.450150489807129,0.4685927073365191,0.44318147608917846
adaptive_shard_00000.pt:16,clean,base,26.41331357003057,12.11064624786377,12.402706146240234,0.8527651682972885,0.8272317663396739
adaptive_shard_00000.pt:16,clean,v1_uncond,26.452126785312515,7.935855865478516,7.283619403839111,0.8511249323886332,0.8086820731273895
adaptive_shard_00000.pt:16,clean,v1_cond,26.456083823127237,7.9406023025512695,7.293184280395508,0.8511189597865354,0.8085658018502423
